,property_type,price,price_bin,location,city,baths,area_sqft,bedrooms,year,month
1,House,13000000,Medium,Gadap Town,Karachi,4,2613.61,4,2019,7
2,House,91500000,Very High,DHA Defence,Karachi,6,6534.02,5,2019,7
3,Flat,22500000,Very High,DHA Defence,Karachi,3,2178.01,3,2019,7
4,House,45000000,Very High,Gulistan-e-Jauhar,Karachi,4,2885.86,4,2019,7
5,House,72500000,Very High,North Nazimabad,Karachi,8,4900.52,8,2019,7
6,Flat,48000000,Very High,Clifton,Karachi,5,2804.19,3,2019,7
7,Flat,50000000,Very High,Clifton,Karachi,5,2804.19,3,2019,7
10,Flat,39000000,Very High,Gulshan-e-Iqbal Town,Karachi,5,2668.06,4,2019,7
11,Flat,7800000,High,DHA Defence,Karachi,2,1197.9,3,2019,7
13,Flat,22500000,Very High,DHA Defence,Karachi,4,2205.23,3,2019,7
14,Flat,13000000,High,Gulshan-e-Iqbal Town,Karachi,4,2423.03,3,2019,7
15,Flat,18000000,Very High,Gulshan-e-Iqbal Town,Karachi,2,1987.43,3,2019,7
16,Flat,3650000,Low,Gadap Town,Karachi,2,898.43,2,2019,7
18,Flat,4050000,Low,Gulshan-e-Iqbal Town,Karachi,2,898.43,2,2019,7
22,Flat,3700000,Low,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
23,Flat,6000000,Medium,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
24,House,16000000,Medium,Gulistan-e-Jauhar,Karachi,5,1905.76,5,2019,7
25,Flat,2600000,Low,Gulistan-e-Jauhar,Karachi,1,598.95,1,2019,7
26,Flat,6000000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
32,House,16500000,High,Gulistan-e-Jauhar,Karachi,6,1824.08,6,2019,7
34,Flat,2500000,Low,Gulistan-e-Jauhar,Karachi,1,544.5,1,2019,7
35,Flat,5200000,Medium,Gulistan-e-Jauhar,Karachi,2,1143.45,2,2019,7
36,Flat,17500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2178.01,3,2019,7
38,Flat,4800000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1143.45,2,2019,7
39,House,185000000,Very High,DHA Defence,Karachi,7,10890.04,7,2019,7
41,House,150000000,Very High,DHA Defence,Karachi,3,8712.03,2,2019,7
43,House,12000000,Medium,Gadap Town,Karachi,3,2613.61,3,2019,7
44,House,20000000,High,Scheme 33,Karachi,3,2178.01,3,2019,7
47,House,4000000,Low,Gadap Town,Karachi,3,925.65,3,2019,7
50,House,38500000,Very High,North Nazimabad,Karachi,3,4356.02,3,2019,7
51,Flat,6850000,Medium,Gadap Town,Karachi,3,1687.96,3,2019,7
54,Flat,7500000,Medium,Gulshan-e-Iqbal Town,Karachi,3,1470.16,3,2019,7
55,Flat,6000000,Medium,North Nazimabad,Karachi,2,1089.0,2,2019,7
56,Flat,10000000,High,Gulistan-e-Jauhar,Karachi,3,1633.51,3,2019,7
58,Flat,26000000,Very High,Clifton,Karachi,3,2232.46,3,2019,7
60,House,87000000,Very High,DHA Defence,Karachi,6,5445.02,5,2019,7
61,House,60000000,Very High,Federal B Area,Karachi,8,5445.02,8,2019,7
65,Flat,3520000,Low,Gadap Town,Karachi,2,980.1,2,2019,7
68,Flat,7900000,High,Gadap Town,Karachi,3,2150.78,3,2019,7
70,Flat,9000000,High,DHA Defence,Karachi,2,1279.58,2,2019,7
73,Flat,16000000,Very High,DHA Defence,Karachi,2,1089.0,2,2019,7
74,Flat,9500000,High,Gulshan-e-Iqbal Town,Karachi,3,1442.93,3,2019,7
75,Flat,20000000,Very High,DHA Defence,Karachi,3,1742.41,3,2019,7
76,House,12000000,Medium,Gadap Town,Karachi,3,1306.8,2,2019,7
77,House,130000000,Very High,DHA Defence,Karachi,5,5445.02,5,2019,7
78,Flat,7900000,High,Gadap Town,Karachi,3,2150.78,3,2019,7
79,House,160000000,Very High,DHA Defence,Karachi,7,11979.04,5,2019,7
80,Flat,31000000,Very High,Scheme 33,Karachi,5,3021.99,5,2019,7
81,Flat,4500000,Low,Gulistan-e-Jauhar,Karachi,2,816.75,2,2019,7
95,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,1034.55,2,2019,7
96,House,30000000,High,North Karachi,Karachi,3,2286.91,3,2019,7
98,House,32500000,High,Gulistan-e-Jauhar,Karachi,6,2613.61,6,2019,7
100,Flat,4000000,Low,North Nazimabad,Karachi,2,871.2,2,2019,7
101,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,789.53,2,2019,7
102,House,30000000,High,DHA Defence,Karachi,3,1197.9,2,2019,7
103,Flat,21500000,Very High,Gulistan-e-Jauhar,Karachi,4,3375.91,4,2019,7
104,House,31000000,High,North Nazimabad,Karachi,3,2940.31,3,2019,7
108,House,26000000,High,Scheme 33,Karachi,3,4356.02,4,2019,7
109,Flat,15000000,Very High,Gulshan-e-Iqbal Town,Karachi,2,1361.25,2,2019,7
111,House,75000000,Very High,Clifton,Karachi,4,3267.01,4,2019,7
112,House,21000000,High,Scheme 33,Karachi,6,2613.61,6,2019,7
113,House,8300000,Low,Gadap Town,Karachi,3,1306.8,3,2019,7
114,House,18000000,High,Gadap Town,Karachi,5,2531.93,4,2019,7
115,Flat,9500000,High,Gulshan-e-Iqbal Town,Karachi,3,1524.61,3,2019,7
116,Flat,12000000,High,Gulshan-e-Iqbal Town,Karachi,3,1524.61,2,2019,7
